Territorio,CEDI,Subcanal,Tamaño Industria,Codigo Cliente,Ventas Promedio,Espacio Total m2,Racks Actuales,Deuda
Norte,3308,Abarrotes,MEDIANO,500364721,138.18,0,3,74
Norte,3308,Abarrotes,MEDIANO,500387658,80.86,32,1,141
Norte,3308,Abarrotes,GRANDE,500365324,238.45,35,2,158
Norte,3308,Abarrotes,PEQUEÑO,500370836,172.29,32,1,100
Norte,3308,Abarrotes,PEQUEÑO,500367857,86.02,28,1,154
Norte,3308,Abarrotes,PEQUEÑO,500366655,74.56,0,1,113
Norte,3308,Abarrotes,PEQUEÑO,500369806,130.44,49,3,72
Norte,3308,Abarrotes,PEQUEÑO,510151634,74.37,60,0,82
Norte,3308,Abarrotes,PEQUEÑO,510151457,146.08,15,0,168
Norte,3308,Abarrotes,PEQUEÑO,500366738,109.27,35,1,165
Norte,3308,Abarrotes,MEDIANO,500371043,55.69,24,1,66
Norte,3308,Abarrotes,MEDIANO,500368168,367.34,50,2,133
Norte,3308,Abarrotes,GRANDE,500364795,203.56,0,2,104
Norte,3308,Abarrotes,PEQUEÑO,500364776,87.7,34,2,66
Norte,3308,Abarrotes,MEDIANO,500370508,187.69,56,3,152
Norte,3308,Abarrotes,MEDIANO,500368949,181.81,0,1,52
Norte,3308,Abarrotes,PEQUEÑO,510151418,188.47,32,0,45
Norte,3308,Abarrotes,PEQUEÑO,500365775,178.73,20,2,122
Norte,3308,Abarrotes,MEDIANO,500370531,180.53,0,2,141
Norte,3308,Abarrotes,PEQUEÑO,500387900,136.76,0,3,141
Norte,3308,Abarrotes,PEQUEÑO,500370787,180.78,16,2,47
Norte,3308,Abarrotes,MEDIANO,500364918,288.03,24,3,105
Norte,3308,Abarrotes,MEDIANO,500370158,123.86,16,2,189
Norte,3308,Abarrotes,MEDIANO,510151950,119.87,32,0,48
Norte,3308,Tortillería,MEDIANO,500370296,157.03,20,2,119
Norte,3308,Tortillería,PEQUEÑO,500366146,196.42,32,2,180
Occidente,3931,Abarrotes,MEDIANO,500133268,404.59,30,4,68
Occidente,3931,Abarrotes,MEDIANO,500135368,491.35,30,4,85
Occidente,3931,Abarrotes,MEDIANO,500136144,296.14,15,2,91
Occidente,3931,Abarrotes,GRANDE,500136148,845.82,30,3,54
Occidente,3934,Abarrotes,PEQUEÑO,500143365,439.1,9,3,25
Occidente,3931,Abarrotes,GRANDE,500135465,700.61,0,2,40
Occidente,3931,Abarrotes,GRANDE,500135585,318.69,96,1,40
Occidente,3937,Abarrotes,PEQUEÑO,500140254,291.8,0,2,103
Occidente,3931,Abarrotes,PEQUEÑO,500411209,164.83,24,0,27
Occidente,3931,Abarrotes,PEQUEÑO,500411369,179.62,16,0,69
Occidente,3931,Abarrotes,MEDIANO,500134994,350.86,48,3,105
Occidente,3934,Abarrotes,PEQUEÑO,500290029,189.16,35,2,18
Occidente,3931,Abarrotes,PEQUEÑO,500411312,60.37,54,0,160
Occidente,3931,Abarrotes,PEQUEÑO,500411948,421.17,20,1,29
Occidente,3932,Abarrotes,PEQUEÑO,500141016,392.1,24,3,174
Occidente,3937,Abarrotes,MEDIANO,500142618,388.76,0,2,39
Occidente,3934,Abarrotes,PEQUEÑO,500143328,307.28,28,3,135
Occidente,3937,Abarrotes,MEDIANO,500140547,341.64,42,4,177
Occidente,3931,Abarrotes,GRANDE,500132985,715.01,42,5,183
Occidente,3931,Abarrotes,MEDIANO,500133897,485.79,42,3,95
Occidente,3931,Abarrotes,GRANDE,500135614,897.56,25,2,30
Occidente,3933,Abarrotes,MEDIANO,500131926,419.19,18,3,196
Occidente,3931,Abarrotes,GRANDE,500133207,376.33,20,2,21
Occidente,3931,Abarrotes,PEQUEÑO,500132831,287.38,20,2,169
Occidente,3931,Abarrotes,PEQUEÑO,500133980,333.49,48,3,165
Occidente,3931,Abarrotes,MEDIANO,500134313,509.88,0,3,86
Occidente,3937,Abarrotes,PEQUEÑO,500142767,716.03,0,5,107
Occidente,3933,Abarrotes,PEQUEÑO,510339033,243.49,16,0,57
Occidente,3931,Abarrotes,PEQUEÑO,500133741,361.52,0,2,41
Occidente,3931,Abarrotes,MEDIANO,500135138,126.16,25,1,84
Occidente,3931,Abarrotes,MEDIANO,500135388,261.84,9,2,38
Occidente,3934,Abarrotes,MEDIANO,500143320,443.49,32,3,113
Occidente,3931,Abarrotes,MEDIANO,500133332,437.16,32,4,54
Occidente,3937,Abarrotes,PEQUEÑO,500140504,190.85,0,3,122
Occidente,3937,Abarrotes,PEQUEÑO,500142854,169.2,35,2,199
Occidente,3931,Abarrotes,PEQUEÑO,500412208,261.51,9,1,184
Occidente,3931,Abarrotes,PEQUEÑO,500134444,252.36,24,3,18
Occidente,3931,Abarrotes,MEDIANO,500133319,550.81,32,3,163
Occidente,3931,Abarrotes,PEQUEÑO,500135177,192.11,24,2,11
Occidente,3931,Abarrotes,MEDIANO,500135240,430.31,17,2,80
Occidente,3931,Abarrotes,MEDIANO,500136511,593.99,20,2,107
Occidente,3931,Abarrotes,GRANDE,500135841,537.09,48,3,153
Occidente,3931,Abarrotes,MEDIANO,500135262,223.81,20,3,30
Occidente,3931,Abarrotes,GRANDE,500136418,683.67,36,3,10
Occidente,3931,Abarrotes,GRANDE,500136523,691.44,24,3,166
Occidente,3932,Abarrotes,MEDIANO,500140584,502.69,35,3,159
Occidente,3931,Abarrotes,GRANDE,500133025,796.81,28,3,63
Occidente,3931,Abarrotes,GRANDE,500135085,392.59,35,1,130
Occidente,3934,Abarrotes,PEQUEÑO,500143029,360.11,20,3,50
Occidente,3931,Abarrotes,GRANDE,500201182,716.09,20,4,96
Occidente,3931,Abarrotes,MEDIANO,500132935,555.93,49,5,101
Occidente,3931,Abarrotes,GRANDE,500135115,464.26,30,3,61
Occidente,3931,Abarrotes,GRANDE,500135764,313.25,16,3,105
Occidente,3931,Abarrotes,GRANDE,500138275,701.72,12,1,94
Occidente,3934,Abarrotes,PEQUEÑO,500143097,304.07,48,3,38
Occidente,3934,Abarrotes,PEQUEÑO,500143390,175.6,24,1,156
Occidente,3937,Abarrotes,MEDIANO,500143916,216.46,30,1,88
Occidente,3931,Abarrotes,PEQUEÑO,500133345,160.53,32,1,115
Occidente,3931,Abarrotes,GRANDE,500134381,465.05,30,2,75
Occidente,3931,Abarrotes,MEDIANO,500135448,475.42,20,2,197
Occidente,3931,Abarrotes,PEQUEÑO,500135582,428.46,24,3,172
Occidente,3931,Abarrotes,GRANDE,500136484,703.57,30,2,125
Occidente,3931,Abarrotes,MEDIANO,500136645,436.57,40,2,71
Occidente,3934,Abarrotes,PEQUEÑO,500143401,207.8,24,1,177
Occidente,3931,Abarrotes,GRANDE,500411020,685.36,96,1,178
Occidente,3937,Abarrotes,MEDIANO,500140396,388.83,0,4,192
Occidente,3931,Abarrotes,GRANDE,500137665,1183.9,36,3,183
Occidente,3931,Abarrotes,MEDIANO,500132468,543.31,56,4,152
Occidente,3931,Abarrotes,PEQUEÑO,500134231,267.23,9,1,89
Occidente,3931,Abarrotes,GRANDE,500134858,593.62,40,4,40
Occidente,3931,Abarrotes,MEDIANO,500136678,296.62,36,2,53
Occidente,3931,Abarrotes,PEQUEÑO,500136927,163.35,36,1,67
Occidente,3934,Abarrotes,PEQUEÑO,500143119,314.77,42,1,114
Occidente,3934,Abarrotes,MEDIANO,500143299,478.33,35,3,37
Occidente,3931,Abarrotes,GRANDE,500134494,460.5,48,3,35
Occidente,3931,Abarrotes,MEDIANO,500132024,403.86,30,3,163
Occidente,3931,Abarrotes,MEDIANO,500138035,898.87,36,3,152
Occidente,3937,Abarrotes,PEQUEÑO,500144261,79.34,36,0,43
Occidente,3931,Abarrotes,GRANDE,500132838,687.84,24,1,138
Occidente,3931,Abarrotes,PEQUEÑO,500135136,216.62,9,2,149
Occidente,3931,Abarrotes,MEDIANO,500136595,348.73,24,2,93
Occidente,3931,Abarrotes,PEQUEÑO,500139747,298.65,20,0,200
Occidente,3932,Abarrotes,PEQUEÑO,500140772,267.16,24,2,140
Occidente,3931,Abarrotes,MEDIANO,500134332,616.02,15,2,160
Occidente,3931,Abarrotes,MEDIANO,500136608,411.52,24,2,23
Occidente,3931,Abarrotes,GRANDE,500134128,647.24,25,4,184
Occidente,3937,Abarrotes,MEDIANO,500144146,389.73,0,3,58
Occidente,3931,Abarrotes,PEQUEÑO,500135346,110.75,0,2,185
Occidente,3931,Abarrotes,MEDIANO,500135148,318.79,24,2,163
Occidente,3931,Abarrotes,GRANDE,500136134,566.03,80,4,140
Occidente,3931,Abarrotes,GRANDE,500136775,317.92,30,3,164
Occidente,3931,Abarrotes,MEDIANO,500136791,396.34,24,2,173
Occidente,3931,Abarrotes,GRANDE,500131213,1156.99,8,5,121
Occidente,3931,Abarrotes,PEQUEÑO,500133813,206.16,32,1,116
Occidente,3931,Abarrotes,PEQUEÑO,500135545,188.45,28,1,106
Occidente,3937,Abarrotes,GRANDE,500140317,854.73,32,4,57
Occidente,3937,Abarrotes,MEDIANO,500142880,451.91,36,3,65
Occidente,3934,Abarrotes,MEDIANO,510338439,613.48,49,0,60
Occidente,3934,Abarrotes,PEQUEÑO,500131716,302.79,48,2,36
Occidente,3933,Abarrotes,PEQUEÑO,500141627,194.26,26,2,179
Occidente,3937,Abarrotes,PEQUEÑO,500144255,373.14,12,2,66
Occidente,3931,Abarrotes,MEDIANO,500134063,442.72,48,2,138
Occidente,3931,Abarrotes,MEDIANO,500135455,430.46,0,4,29
Occidente,3931,Abarrotes,MEDIANO,500136692,400.85,48,1,13
Occidente,3931,Abarrotes,PEQUEÑO,500135000,345.95,24,3,44
Occidente,3931,Abarrotes,MEDIANO,500135367,559.62,64,4,120
Occidente,3931,Abarrotes,GRANDE,500135405,620.53,30,2,43
Occidente,3934,Abarrotes,PEQUEÑO,500143400,152.93,15,1,77
Occidente,3931,Abarrotes,PEQUEÑO,500132566,249.84,30,2,31
Occidente,3931,Abarrotes,PEQUEÑO,500133335,200.53,24,2,53
Occidente,3931,Abarrotes,PEQUEÑO,500134900,230.55,12,1,107
Occidente,3937,Abarrotes,GRANDE,500140411,930.99,25,3,167
Occidente,3934,Abarrotes,MEDIANO,500141783,471.95,28,4,173
Occidente,3931,Abarrotes,PEQUEÑO,500131495,300.6,15,2,135
Occidente,3933,Abarrotes,PEQUEÑO,500131835,118.86,9,1,94
Occidente,3931,Abarrotes,PEQUEÑO,500133569,267.6,25,2,24
Occidente,3931,Abarrotes,MEDIANO,500135622,358.61,30,3,152
Occidente,3933,Abarrotes,PEQUEÑO,500140076,453.21,0,2,84
Occidente,3937,Abarrotes,MEDIANO,500144226,258.55,20,2,107
Occidente,3931,Abarrotes,GRANDE,500133340,871.69,48,3,147
Occidente,3937,Abarrotes,PEQUEÑO,500142936,196.68,15,2,78
Occidente,3931,Abarrotes,MEDIANO,500134522,241.38,0,3,122
Occidente,3931,Abarrotes,MEDIANO,500411065,175.51,32,0,85
Occidente,3931,Abarrotes,PEQUEÑO,500135297,349.01,0,1,100
Occidente,3931,Abarrotes,MEDIANO,500136923,409.44,24,2,105
Occidente,3931,Abarrotes,MEDIANO,500135267,431.81,30,3,185
Occidente,3931,Abarrotes,MEDIANO,500136425,306.75,30,2,61
Occidente,3934,Abarrotes,PEQUEÑO,500143357,179.9,18,3,155
Occidente,3931,Abarrotes,PEQUEÑO,500131276,285,20,2,92
Occidente,3935,Abarrotes,MEDIANO,500141329,440.75,56,4,49
Occidente,3931,Abarrotes,MEDIANO,500133288,453.04,25,2,97
Occidente,3931,Abarrotes,MEDIANO,500136416,599.9,9,3,147
Occidente,3931,Abarrotes,MEDIANO,500136682,369.1,64,2,158
Occidente,3931,Abarrotes,PEQUEÑO,500135050,224.17,12,2,96
Occidente,3931,Abarrotes,GRANDE,500135125,429.38,42,2,122
Occidente,3934,Abarrotes,PEQUEÑO,500143139,136.21,42,2,97
Occidente,3931,Abarrotes,MEDIANO,500131611,637.93,40,3,181
Occidente,3931,Abarrotes,GRANDE,500133948,475.1,40,4,175
Occidente,3931,Abarrotes,MEDIANO,500136750,390.46,0,4,42
Occidente,3931,Abarrotes,MEDIANO,500203413,397.16,9,2,135
Occidente,3931,Abarrotes,MEDIANO,500135452,329.52,56,1,46
Occidente,3931,Abarrotes,GRANDE,500131629,920.18,25,3,151
Occidente,3934,Abarrotes,PEQUEÑO,500131718,170.38,25,2,149
Occidente,3931,Abarrotes,PEQUEÑO,500132855,259.12,28,2,20
Occidente,3931,Abarrotes,MEDIANO,500136653,376.65,20,2,104
Occidente,3931,Abarrotes,MEDIANO,500131232,576.26,30,1,105
Occidente,3934,Abarrotes,MEDIANO,500131694,373.18,25,3,93
Occidente,3931,Abarrotes,MEDIANO,500133385,165.24,48,1,157
Occidente,3937,Abarrotes,GRANDE,500143675,763.19,48,2,82
Occidente,3931,Abarrotes,PEQUEÑO,500133344,218.82,24,2,74
Occidente,3931,Abarrotes,MEDIANO,500134573,154.95,15,1,197
Occidente,3934,Abarrotes,MEDIANO,500143271,874.8,30,1,124
Occidente,3932,Abarrotes,MEDIANO,500141028,276.12,12,2,44
Occidente,3931,Abarrotes,MEDIANO,500131264,473.79,12,2,175
Occidente,3931,Abarrotes,GRANDE,500145915,452.51,24,3,77
Occidente,3931,Abarrotes,MEDIANO,500135028,329.01,48,3,119
Occidente,3934,Abarrotes,MEDIANO,500143217,250.87,20,3,98
Occidente,3931,Abarrotes,PEQUEÑO,500133809,280.06,49,3,125
Occidente,3931,Abarrotes,PEQUEÑO,500134301,210.94,30,3,165
Occidente,3931,Abarrotes,PEQUEÑO,500134385,181.41,12,1,46
Occidente,3931,Abarrotes,PEQUEÑO,500134431,196.37,15,2,159
Occidente,3933,Abarrotes,PEQUEÑO,500140178,194.35,15,3,186
Occidente,3931,Abarrotes,GRANDE,500134841,592.41,40,4,94
Occidente,3934,Abarrotes,PEQUEÑO,500143269,185.14,25,1,27
Occidente,3931,Abarrotes,PEQUEÑO,500134991,97.56,24,1,14
Occidente,3937,Abarrotes,PEQUEÑO,500140393,377.13,0,1,141
Occidente,3931,Abarrotes,GRANDE,500134564,625.51,35,4,189
Occidente,3931,Abarrotes,MEDIANO,500135055,227.07,25,3,12
Occidente,3931,Abarrotes,GRANDE,500136373,607.45,12,3,150
Occidente,3935,Abarrotes,MEDIANO,500141290,347.41,24,1,200
Occidente,3934,Abarrotes,MEDIANO,500143315,707.3,42,3,131
Occidente,3937,Abarrotes,MEDIANO,500143934,1321.34,20,2,22
Occidente,3931,Abarrotes,MEDIANO,500132836,314.3,20,1,21
Occidente,3931,Abarrotes,PEQUEÑO,500134969,361.81,32,3,108
Occidente,3931,Abarrotes,MEDIANO,500136420,287.07,20,2,99
Occidente,3931,Abarrotes,PEQUEÑO,500135334,222.01,0,1,44
Occidente,3931,Abarrotes,PEQUEÑO,500136206,331.52,20,3,37
Occidente,3931,Abarrotes,PEQUEÑO,500136487,171.62,20,3,124
Occidente,3937,Abarrotes,PEQUEÑO,500140523,303.3,0,2,17
Occidente,3933,Abarrotes,MEDIANO,500131874,372.99,12,0,23
Occidente,3931,Abarrotes,MEDIANO,500134504,395.36,0,3,14
Occidente,3931,Abarrotes,PEQUEÑO,500134322,302.06,25,3,173
Occidente,3931,Abarrotes,MEDIANO,500134524,506.15,48,4,140
Occidente,3931,Abarrotes,GRANDE,500136641,567.07,0,4,162
Occidente,3931,Abarrotes,MEDIANO,500138454,316.6,48,0,59
Occidente,3935,Abarrotes,PEQUEÑO,500141731,257.18,9,3,79
Occidente,3931,Abarrotes,PEQUEÑO,500132874,313.03,36,2,98
Occidente,3931,Abarrotes,MEDIANO,500133217,338.34,48,2,181
Occidente,3931,Abarrotes,GRANDE,500131293,573.67,12,4,81
Occidente,3931,Abarrotes,MEDIANO,500134736,123.21,20,2,119
Occidente,3931,Abarrotes,PEQUEÑO,500135424,175.63,16,2,191
Occidente,3931,Abarrotes,PEQUEÑO,500203954,154.58,36,2,156
Occidente,3931,Abarrotes,MEDIANO,500132538,263.55,25,2,61
Occidente,3931,Abarrotes,GRANDE,500134451,446.02,24,4,77
Occidente,3933,Abarrotes,PEQUEÑO,500131833,468.06,6,4,85
Occidente,3931,Abarrotes,GRANDE,500134772,663.76,20,2,122
Occidente,3931,Abarrotes,MEDIANO,500137631,877.31,16,3,170
Occidente,3931,Abarrotes,MEDIANO,500134570,214.93,16,1,159
Occidente,3931,Abarrotes,GRANDE,500138015,781.84,36,2,29
Occidente,3932,Abarrotes,GRANDE,500140826,257.59,64,3,124
Occidente,3933,Abarrotes,PEQUEÑO,500131917,188.5,25,1,18
Occidente,3931,Abarrotes,MEDIANO,500133220,207.07,96,2,152
Occidente,3931,Abarrotes,PEQUEÑO,500135149,150.34,32,2,140
Occidente,3934,Abarrotes,MEDIANO,500143126,473.86,35,3,61
Occidente,3931,Abarrotes,MEDIANO,500133190,483.13,48,2,186
Occidente,3931,Abarrotes,MEDIANO,500134495,279.3,36,3,64
Occidente,3931,Abarrotes,MEDIANO,500134822,301.1,12,3,62
Occidente,3931,Abarrotes,MEDIANO,500136878,296.09,30,2,140
Occidente,3935,Abarrotes,PEQUEÑO,500141326,217.88,20,2,87
Occidente,3931,Abarrotes,PEQUEÑO,500134283,398.08,36,4,18
Occidente,3931,Abarrotes,MEDIANO,500135344,384.13,0,1,124
Occidente,3931,Abarrotes,MEDIANO,500135447,423.16,0,4,28
Occidente,3936,Abarrotes,GRANDE,500142133,1421.96,25,3,89
Occidente,3931,Abarrotes,PEQUEÑO,500133438,242.88,24,0,56
Occidente,3931,Abarrotes,PEQUEÑO,500132842,265.24,20,2,187
Occidente,3931,Abarrotes,GRANDE,500136281,463.43,28,2,95
Occidente,3931,Abarrotes,GRANDE,500134803,513.7,20,2,15
Occidente,3931,Abarrotes,GRANDE,500135284,534.76,20,4,92
Occidente,3931,Abarrotes,PEQUEÑO,500135548,222.05,25,3,111
Occidente,3931,Abarrotes,MEDIANO,500136710,195.91,120,1,63
Occidente,3937,Abarrotes,PEQUEÑO,500144123,304.87,25,2,51
Occidente,3931,Abarrotes,PEQUEÑO,500133960,216.27,10,2,164
Occidente,3931,Abarrotes,PEQUEÑO,500134925,281.31,25,2,191
Occidente,3931,Abarrotes,GRANDE,500136788,939.32,96,1,49
Occidente,3931,Abarrotes,GRANDE,500135111,398.93,42,3,180
Occidente,3937,Abarrotes,PEQUEÑO,500143893,263.42,27.6,2,57
Occidente,3931,Abarrotes,PEQUEÑO,500410989,166.04,24,0,194
Occidente,3931,Abarrotes,GRANDE,500134145,285.51,25,4,171
Occidente,3934,Abarrotes,PEQUEÑO,500143389,130.1,30,1,152
Occidente,3931,Abarrotes,GRANDE,500133254,399.84,64,3,77
Occidente,3931,Abarrotes,MEDIANO,500133415,351.69,25,2,99
Occidente,3931,Abarrotes,MEDIANO,500134058,400.92,24,3,91
Occidente,3931,Abarrotes,MEDIANO,500134170,395.24,8,3,169
Occidente,3931,Abarrotes,PEQUEÑO,500134250,306.11,15,4,137
Occidente,3931,Abarrotes,MEDIANO,500136246,278.18,24,2,11
Occidente,3937,Abarrotes,MEDIANO,500144078,600.01,12,3,72
Occidente,3931,Abarrotes,MEDIANO,500133294,418.81,20,2,165
Occidente,3931,Abarrotes,MEDIANO,500134054,352.91,15,2,46
Occidente,3931,Abarrotes,PEQUEÑO,500135098,190.92,30,2,165
Occidente,3931,Abarrotes,PEQUEÑO,500137438,366.42,48,1,109
Occidente,3931,Abarrotes,PEQUEÑO,500134899,168.34,12,2,162
Occidente,3937,Abarrotes,PEQUEÑO,500140502,141.79,36,1,79
Occidente,3931,Abarrotes,PEQUEÑO,500134942,186.44,16,2,54
Occidente,3931,Abarrotes,GRANDE,500135056,689.73,30,1,44
Occidente,3931,Abarrotes,MEDIANO,500134561,404.66,9,2,176
Occidente,3931,Abarrotes,GRANDE,500135282,403.23,20,4,114
Occidente,3937,Abarrotes,MEDIANO,500142676,553.56,24,2,47
Occidente,3931,Abarrotes,GRANDE,500136064,892.71,24,3,26
Occidente,3931,Abarrotes,GRANDE,500136873,367.52,16,3,95
Occidente,3931,Abarrotes,GRANDE,500137929,599.16,48,3,175
Occidente,3937,Abarrotes,PEQUEÑO,500142851,188.48,49,2,197
Occidente,3937,Abarrotes,PEQUEÑO,500143704,259.12,42,1,172
Occidente,3931,Abarrotes,GRANDE,500134327,412.96,36,3,91
Occidente,3931,Abarrotes,GRANDE,500135197,308.37,20,3,132
Occidente,3937,Abarrotes,PEQUEÑO,500142818,267.32,16,2,104
Occidente,3931,Abarrotes,GRANDE,500134380,496.52,28,4,96
Occidente,3932,Abarrotes,PEQUEÑO,500141043,124.94,35,3,97
Occidente,3931,Abarrotes,GRANDE,500136930,537.38,6,3,59
Occidente,3934,Abarrotes,MEDIANO,500143253,465.1,49,4,70
Occidente,3931,Abarrotes,PEQUEÑO,500287287,344.67,42,0,57
Occidente,3931,Abarrotes,MEDIANO,500134985,443.45,48,1,149
Occidente,3933,Abarrotes,MEDIANO,500140214,322.14,48,2,58
Occidente,3931,Abarrotes,PEQUEÑO,500135124,334.54,24,2,195
Occidente,3931,Abarrotes,MEDIANO,500135142,483.69,35,4,168
Occidente,3931,Abarrotes,MEDIANO,500136694,423.4,40,3,112
Occidente,3931,Abarrotes,GRANDE,500138659,790.98,48,3,20
Occidente,3933,Abarrotes,PEQUEÑO,500131858,189.07,0,1,132
Occidente,3931,Abarrotes,MEDIANO,500134167,423.11,20,4,125
Occidente,3931,Abarrotes,MEDIANO,500134403,447.8,20,3,83
Occidente,3931,Abarrotes,MEDIANO,500134974,387.85,24,3,184
Occidente,3931,Abarrotes,MEDIANO,500140123,505.96,15,4,34
Occidente,3937,Abarrotes,MEDIANO,500140339,609.26,20,3,197
Occidente,3934,Abarrotes,MEDIANO,500143270,644.07,0,2,59
Occidente,3937,Abarrotes,MEDIANO,500203590,510.3,20,3,52
Occidente,3931,Abarrotes,PEQUEÑO,500204182,235.01,20,3,68
Occidente,3931,Abarrotes,MEDIANO,500134468,350.51,0,1,180
Occidente,3931,Abarrotes,MEDIANO,500134598,389.58,20,3,65
Occidente,3931,Abarrotes,MEDIANO,500411015,520.84,20,2,35
Occidente,3931,Abarrotes,MEDIANO,500136505,359.91,30,3,69
Occidente,3931,Abarrotes,MEDIANO,500133987,255.19,35,2,92
Occidente,3931,Abarrotes,MEDIANO,500131242,395.61,25,4,108
Occidente,3934,Abarrotes,PEQUEÑO,500131706,195.68,25,2,50
Occidente,3934,Abarrotes,PEQUEÑO,500143050,283.88,24,2,196
Occidente,3931,Abarrotes,GRANDE,500137435,879.94,48,3,95
Occidente,3934,Abarrotes,PEQUEÑO,500143080,172.62,48,1,199
Occidente,3934,Abarrotes,PEQUEÑO,500143407,164.75,32,2,120
Occidente,3931,Abarrotes,PEQUEÑO,500134372,172.48,30,3,64
